case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
0,1,2,0,0,14513,2007,4,24.675120833333335,0,1,1
1,1,3,1,0,2412,2002,2,3476.06875,0,1,0
2,1,0,0,1,44444,2008,4,5124.869166666666,0,1,1
3,1,0,0,0,98,1897,4,3476.4179166666668,0,1,1
4,0,3,1,0,1082,2005,3,6246.141250000001,0,1,0
5,1,3,1,0,2339,2012,3,3260.505833333333,0,1,0
6,1,0,0,0,4985,1994,3,2234.8079166666666,0,1,0
7,3,0,1,0,3035,1924,4,17.426241666666666,0,1,1
8,1,0,0,0,4810,2012,1,3098.4245833333334,0,1,0
9,2,1,1,0,2251,1995,3,2813.115,0,1,0
1120,1,3,0,0,2465,2004,1,3482.8566666666666,0,1,0
2231,1,2,1,0,4069,2005,2,2950.5454166666664,0,1,1
3342,1,0,1,0,123876,1963,2,1194.29375,0,1,0
4453,1,0,1,0,1652,2007,1,4466.50125,0,1,0
5564,1,3,1,1,15756,2006,3,9170.072083333334,0,1,0
6675,1,2,1,0,4897,1987,4,3087.834166666667,0,1,1
7786,2,3,1,0,76638,1991,1,154.44958333333332,0,1,0
8897,1,3,1,0,2747,2001,4,672.1920833333334,0,1,0
10008,0,3,1,0,4743,2004,1,6268.380416666667,0,1,0
11119,1,1,0,0,843,1972,1,3331.1716666666666,0,1,0
12230,1,3,0,0,880,2008,4,2963.7075,0,1,1
13341,3,3,1,0,1706,2013,1,5737.2908333333335,0,0,0
14452,1,3,1,0,2878,1968,4,1901.76625,0,1,0
15563,3,2,0,0,1517,1884,1,3754.5158333333334,0,0,0
16674,2,1,1,0,241,1981,1,2970.2516666666666,0,1,0
17266,3,3,0,0,1100,1997,1,4145.402083333333,0,1,0
17377,1,0,1,0,756,1995,3,3597.2062499999997,0,1,0
17488,1,2,1,1,2889,2005,3,4292.88875,0,1,0
17599,1,3,1,0,18,2004,2,1705.2441666666666,0,1,0
17710,1,0,1,0,758,2009,2,7882.936666666667,0,1,0
17821,1,3,1,0,1408,1998,1,3316.4216666666666,0,0,0
17932,1,1,1,0,995,1880,3,5661.08875,0,0,0
18043,1,0,0,0,2415,1963,1,3003.232083333334,0,0,0
18154,1,2,0,0,2395,2000,3,3413.3824999999997,0,1,0
18265,1,3,0,0,1809,2010,3,9398.73875,0,0,0
18376,1,2,1,0,5512,2001,2,3850.9133333333334,0,1,1
18487,2,2,1,0,2520,1981,4,103.755,0,1,1
18598,2,3,1,1,44,1965,3,4617.385833333333,0,1,0
18709,1,0,1,1,2206,1909,2,2123.3337500000002,0,1,0
18820,1,3,0,0,3729,2007,1,5222.370833333333,0,1,0
18931,1,0,1,0,3723,2011,4,1651.3883333333333,0,1,0
19042,1,3,1,0,1209,1989,2,6513.597083333333,0,0,0
19153,2,1,1,0,19770,2005,4,1817.9408333333333,0,1,0
19264,3,3,1,0,2582,1989,3,2275.6008333333334,0,1,0
19375,1,2,1,0,5407,1998,4,1207.9112499999999,0,1,1
19486,2,0,0,1,2092,1998,3,955.2045833333333,0,1,0
19597,1,0,1,0,2623,2008,3,2565.3229166666665,0,1,0
19708,1,2,1,0,226,1991,1,6510.465416666667,0,1,0
19819,1,0,1,0,2405,1933,3,3584.2508333333335,0,1,0
19930,1,1,0,1,2171,1960,2,2065.22375,0,1,1
20041,1,0,0,0,746,1991,1,2757.9754166666667,0,1,0
20152,1,3,1,0,3129,2003,1,3984.2999999999997,0,0,0
20263,1,0,0,0,1647,1998,1,4792.252083333334,0,1,0
20374,1,2,1,0,2438,1976,1,1459.085,0,1,0
20485,1,3,1,0,11733,1995,2,9.616966666666666,0,1,0
20596,1,3,1,0,2368,1998,2,4741.651666666667,0,1,0
20707,2,0,1,1,779,1994,4,3577.25375,0,1,0
20818,1,0,1,0,2825,1996,2,590.585,0,1,0
20929,2,0,0,0,3510,2007,4,1965.7016666666666,0,1,0
21040,1,1,0,0,2624,2012,1,206.22,0,1,0
21151,1,3,0,1,5340,2010,4,2808.7745833333333,0,1,1
21262,2,1,1,1,2311,1994,1,2449.6491666666666,0,1,0
21373,1,2,0,0,5110,2004,4,4.3008999999999995,0,1,1
21484,2,0,1,0,1316,1995,3,2607.9820833333333,0,1,0
21595,1,3,0,0,100,2001,2,4288.31625,0,1,1
21706,1,3,1,0,2021,2007,1,5144.5233333333335,0,1,0
21817,3,0,0,0,80,1968,4,3430.193333333333,0,0,1
21928,2,1,1,0,2070,1847,4,221.64541666666665,0,1,0
22039,1,0,1,1,2654,2013,1,6375.830833333333,0,1,0
22150,1,3,1,0,292,2005,3,1585.82875,0,1,0
22261,1,2,1,0,1320,2001,2,9.596958333333333,0,1,1
22372,1,2,1,0,1722,2007,3,2563.4133333333334,0,1,0
22483,2,0,1,0,3339,1935,2,5054.854166666667,0,1,1
22594,1,3,1,0,452,1890,3,5105.85625,0,1,0
22705,0,3,1,0,3705,2001,3,1965.4483333333335,0,1,0
22816,3,0,0,0,85,1999,2,13.765595833333334,0,1,1
22927,2,0,1,0,2423,1838,4,121.97250000000001,0,1,0
23038,1,0,1,0,1274,1999,3,4490.8949999999995,0,1,0
23149,3,3,0,0,1549,2001,3,24.58417916666667,0,1,0
23260,1,2,0,1,1062,1998,4,8090.701249999999,0,1,1
23371,1,0,1,0,32619,1947,3,4253.075416666667,0,1,0
23482,1,3,1,0,4036,2001,3,4745.099166666667,0,1,0
23593,1,2,1,0,39,2000,4,2949.1175000000003,0,1,1
23704,1,0,1,0,2359,2007,2,3505.228333333333,0,1,0
23815,1,3,1,1,1023,2002,3,7250.607916666667,0,1,0
23926,1,3,1,0,2480,1981,2,1425.54875,0,1,0
24037,1,2,0,0,1255,1989,2,3325.5437500000003,0,0,1
24148,1,2,1,0,4455,1998,4,4721.9725,0,1,1
24259,1,0,0,0,2543,1939,2,3287.235,0,1,1
24370,1,0,1,0,1359,2008,4,5845.423333333333,0,1,0
24481,1,2,1,1,2324,2006,2,4663.58375,0,1,1
