case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age,employer_strength,wage_per_year,high_wage_flag,education_level
0,1,2,0,0,14513,2007,4,24.675120833333335,1,1,1,17,853.7058823529412,,0,-1.0
1,1,3,1,0,2412,2002,2,3476.06875,1,1,0,22,109.63636363636364,,0,-1.0
2,1,0,0,1,44444,2008,4,5124.869166666666,1,1,1,16,2777.75,,0,-1.0
3,1,0,0,0,98,1897,4,3476.4179166666668,1,1,1,127,0.7716535433070866,,0,-1.0
4,0,3,1,0,1082,2005,3,6246.141250000001,1,1,0,19,56.94736842105263,,0,-1.0
5,1,3,1,0,2339,2012,3,3260.505833333333,1,1,0,12,194.91666666666666,,0,-1.0
6,1,0,0,0,4985,1994,3,2234.8079166666666,1,1,0,30,166.16666666666666,,0,-1.0
7,3,0,1,0,3035,1924,4,17.426241666666666,1,1,1,100,30.35,,0,-1.0
8,1,0,0,0,4810,2012,1,3098.4245833333334,1,1,0,12,400.8333333333333,,0,-1.0
9,2,1,1,0,2251,1995,3,2813.115,1,1,0,29,77.62068965517241,,0,-1.0
1120,1,3,0,0,2465,2004,1,3482.8566666666666,1,1,0,20,123.25,,0,-1.0
2231,1,2,1,0,4069,2005,2,2950.5454166666664,1,1,1,19,214.1578947368421,,0,-1.0
3342,1,0,1,0,123876,1963,2,1194.29375,1,1,0,61,2030.7540983606557,,0,-1.0
4453,1,0,1,0,1652,2007,1,4466.50125,1,1,0,17,97.17647058823529,,0,-1.0
5564,1,3,1,1,15756,2006,3,9170.072083333334,1,1,0,18,875.3333333333334,,0,-1.0
6675,1,2,1,0,4897,1987,4,3087.834166666667,1,1,1,37,132.35135135135135,,0,-1.0
7786,2,3,1,0,76638,1991,1,154.44958333333332,1,1,0,33,2322.3636363636365,,0,-1.0
8897,1,3,1,0,2747,2001,4,672.1920833333334,1,1,0,23,119.43478260869566,,0,-1.0
10008,0,3,1,0,4743,2004,1,6268.380416666667,1,1,0,20,237.15,,0,-1.0
11119,1,1,0,0,843,1972,1,3331.1716666666666,1,1,0,52,16.21153846153846,,0,-1.0
12230,1,3,0,0,880,2008,4,2963.7075,1,1,1,16,55.0,,0,-1.0
13341,3,3,1,0,1706,2013,1,5737.2908333333335,1,0,0,11,155.0909090909091,,0,-1.0
14452,1,3,1,0,2878,1968,4,1901.76625,1,1,0,56,51.392857142857146,,0,-1.0
15563,3,2,0,0,1517,1884,1,3754.5158333333334,1,0,0,140,10.835714285714285,,0,-1.0
16674,2,1,1,0,241,1981,1,2970.2516666666666,1,1,0,43,5.604651162790698,,0,-1.0
17266,3,3,0,0,1100,1997,1,4145.402083333333,1,1,0,27,40.74074074074074,,0,-1.0
17377,1,0,1,0,756,1995,3,3597.2062499999997,1,1,0,29,26.06896551724138,,0,-1.0
17488,1,2,1,1,2889,2005,3,4292.88875,1,1,0,19,152.05263157894737,,0,-1.0
17599,1,3,1,0,18,2004,2,1705.2441666666666,1,1,0,20,0.9,,0,-1.0
17710,1,0,1,0,758,2009,2,7882.936666666667,1,1,0,15,50.53333333333333,,0,-1.0
17821,1,3,1,0,1408,1998,1,3316.4216666666666,1,0,0,26,54.15384615384615,,0,-1.0
17932,1,1,1,0,995,1880,3,5661.08875,1,0,0,144,6.909722222222222,,0,-1.0
18043,1,0,0,0,2415,1963,1,3003.232083333334,1,0,0,61,39.59016393442623,,0,-1.0
18154,1,2,0,0,2395,2000,3,3413.3824999999997,1,1,0,24,99.79166666666667,,0,-1.0
18265,1,3,0,0,1809,2010,3,9398.73875,1,0,0,14,129.21428571428572,,0,-1.0
18376,1,2,1,0,5512,2001,2,3850.9133333333334,1,1,1,23,239.65217391304347,,0,-1.0
18487,2,2,1,0,2520,1981,4,103.755,1,1,1,43,58.604651162790695,,0,-1.0
18598,2,3,1,1,44,1965,3,4617.385833333333,1,1,0,59,0.7457627118644068,,0,-1.0
18709,1,0,1,1,2206,1909,2,2123.3337500000002,1,1,0,115,19.182608695652174,,0,-1.0
18820,1,3,0,0,3729,2007,1,5222.370833333333,1,1,0,17,219.35294117647058,,0,-1.0
18931,1,0,1,0,3723,2011,4,1651.3883333333333,1,1,0,13,286.38461538461536,,0,-1.0
19042,1,3,1,0,1209,1989,2,6513.597083333333,1,0,0,35,34.542857142857144,,0,-1.0
19153,2,1,1,0,19770,2005,4,1817.9408333333333,1,1,0,19,1040.5263157894738,,0,-1.0
19264,3,3,1,0,2582,1989,3,2275.6008333333334,1,1,0,35,73.77142857142857,,0,-1.0
19375,1,2,1,0,5407,1998,4,1207.9112499999999,1,1,1,26,207.96153846153845,,0,-1.0
19486,2,0,0,1,2092,1998,3,955.2045833333333,1,1,0,26,80.46153846153847,,0,-1.0
19597,1,0,1,0,2623,2008,3,2565.3229166666665,1,1,0,16,163.9375,,0,-1.0
19708,1,2,1,0,226,1991,1,6510.465416666667,1,1,0,33,6.848484848484849,,0,-1.0
19819,1,0,1,0,2405,1933,3,3584.2508333333335,1,1,0,91,26.428571428571427,,0,-1.0
19930,1,1,0,1,2171,1960,2,2065.22375,1,1,1,64,33.921875,,0,-1.0
20041,1,0,0,0,746,1991,1,2757.9754166666667,1,1,0,33,22.606060606060606,,0,-1.0
20152,1,3,1,0,3129,2003,1,3984.2999999999997,1,0,0,21,149.0,,0,-1.0
20263,1,0,0,0,1647,1998,1,4792.252083333334,1,1,0,26,63.34615384615385,,0,-1.0
